Station ID,Message,,,
07168500,No data available,,,
012024400,No data available,,,
06183850,No data available,,,
02221000,No data available,,,
012397100,No data available,,,
09268000,No data available,,,
03143500,No data available,,,
050059210,No data available,,,
016717000,No data available,,,
04206043,No data available,,,
011396000,No data available,,,
010343500,No data available,,,
01369500,No data available,,,
011392500,No data available,,,
01585095,No data available,,,
011316600,No data available,,,
011025500,No data available,,,
011292500,No data available,,,
02341910,No data available,,,
05417000,No data available,,,
015051010,No data available,,,
011203580,No data available,,,
011367760,No data available,,,
016414200,No data available,,,
03209300,No data available,,,
09489700,No data available,,,
012010000,No data available,,,
07111000,No data available,,,
09311500,No data available,,,
012114500,No data available,,,
011158500,No data available,,,
06880500,No data available,,,
01364959,No data available,,,
014211000,No data available,,,
01310000,No data available,,,
011058500,No data available,,,
04159500,No data available,,,
06799460,No data available,,,
014315500,No data available,,,
014311000,No data available,,,
09312800,No data available,,,
012434590,No data available,,,
04161100,No data available,,,
09486590,No data available,,,
07064500,No data available,,,
07060000,No data available,,,
013307000,No data available,,,
016756100,No data available,,,
012161000,No data available,,,
012065500,No data available,,,
06453500,No data available,,,
010232500,No data available,,,
014319500,No data available,,,
04151000,No data available,,,
01449500,No data available,,,
03611800,No data available,,,
012433200,No data available,,,
02131320,No data available,,,
012118500,No data available,,,
01422389,No data available,,,
010323425,No data available,,,
03136000,No data available,,,
07367700,No data available,,,
02196835,No data available,,,
012381400,No data available,,,
07280400,No data available,,,
03600500,No data available,,,
03151500,No data available,,,
03098700,No data available,,,
012044900,No data available,,,
011033000,No data available,,,
04132000,No data available,,,
014184100,No data available,,,
05505000,No data available,,,
04281500,No data available,,,
011380500,No data available,,,
011133000,No data available,,,
011451300,No data available,,,
011384000,No data available,,,
06436165,No data available,,,
08065500,No data available,,,
06787500,No data available,,,
09303500,No data available,,,
012323710,No data available,,,
0208925200,No data available,,,
09386250,No data available,,,
05478000,No data available,,,
011230200,No data available,,,
014203000,No data available,,,
011465700,No data available,,,
09132995,No data available,,,
01302000,No data available,,,
014207500,No data available,,,
06889120,No data available,,,
01306500,No data available,,,
01457500,No data available,,,
012157000,No data available,,,
011230215,No data available,,,
013186000,No data available,,,
06461000,No data available,,,
08383000,No data available,,,
04121900,No data available,,,
07361600,No data available,,,
013082500,No data available,,,
09403000,No data available,,,
08179100,No data available,,,
05429500,No data available,,,
01064300,No data available,,,
02245140,No data available,,,
02051600,No data available,,,
050093120,No data available,,,
014198500,No data available,,,
0393000000000000,No data available,,,
011166000,No data available,,,
010300000,No data available,,,
04067000,No data available,,,
011162500,No data available,,,
011404300,No data available,,,
04063500,No data available,,,
012137290,No data available,,,
015215990,No data available,,,
011525655,No data available,,,
02196820,No data available,,,
011101500,No data available,,,
09415460,No data available,,,
03167500,No data available,,,
06267400,No data available,,,
011495800,No data available,,,
012149000,No data available,,,
07048000,No data available,,,
02131309,No data available,,,
06748600,No data available,,,
050026200,No data available,,,
012138160,No data available,,,
012035450,No data available,,,
04179000,No data available,,,
011078000,No data available,,,
01330500,No data available,,,
07287150,No data available,,,
07282000,No data available,,,
06257500,No data available,,,
08157000,No data available,,,
08083245,No data available,,,
07386500,No data available,,,
050092000,No data available,,,
09340000,No data available,,,
012041500,No data available,,,
01614090,No data available,,,
013327500,No data available,,,
011141050,No data available,,,
016294100,No data available,,,
013190500,No data available,,,
09515500,No data available,,,
01410500,No data available,,,
011426200,No data available,,,
06898400,No data available,,,
0214253830,No data available,,,
011109000,No data available,,,
015022000,No data available,,,
01510500,No data available,,,
02270500,No data available,,,
06316400,No data available,,,
014302900,No data available,,,
012452990,No data available,,,
010241470,No data available,,,
01115670,No data available,,,
016013000,No data available,,,
010316500,No data available,,,
010257548,No data available,,,
010312000,No data available,,,
011174000,No data available,,,
011408880,No data available,,,
07242350,No data available,,,
011070500,No data available,,,
013237920,No data available,,,
011480410,No data available,,,
014339000,No data available,,,
011074000,No data available,,,
010371000,No data available,,,
08022070,No data available,,,
016212601,No data available,,,
09216050,No data available,,,
