Station ID,Power R-squared,Exponential R-squared,Polynomial R-squared,Best Fit,Best R-squared,Coefficients,Variable a,Variable b
07309435,0.814955361,0.8383036107012234,0.9480642754699032,Polynomial,0.9480642754699032,[-1.55043633e-03  8.32087963e-02  3.05216206e+00],-0.001550436,0.083208796
01472620,0.9857610920517168,-3.92E+38,0.9969793078125125,Polynomial,0.9969793078125125,[-2.61715395e-04  5.37355626e-02  5.14896607e-01],-0.000261715,0.053735563
01617000,0.9659931072689955,0.836531626,0.975370734,Polynomial,0.975370734,[-0.00266412  0.1222081   0.78831825],-0.00266412,0.12220810283282928
02392975,0.9921174237256996,-3.41E+267,0.994405968,Polynomial,0.994405968,[-5.92365394e-05  3.47315280e-02  7.37381957e-01],-5.92E-05,0.034731528034850294
01142500,0.9641145581395175,-2.75E+65,0.9926438936128322,Polynomial,0.9926438936128322,[-7.71790484e-05  4.08348271e-02  8.96368965e-01],-7.72E-05,0.040834827
01046000,0.9708661338020198,-2.94E+119,0.9710272931091621,Polynomial,0.9710272931091621,[-7.20876935e-05  2.13377914e-02  1.41940938e+00],-7.21E-05,0.021337791
01042500,0.9911234031210762,#NAME?,0.9977687026753665,Polynomial,0.9977687026753665,[-1.42936363e-06  5.49770615e-03  6.40962306e-01],-1.43E-06,0.005497706
0212433550,0.9990017243483189,0.89943727,0.9952740055093262,Power,0.9990017243483189,[0.29303235 0.48911619],0.29303234850462523,0.4891161856243248
09147500,0.9858064887553901,-1.41E+24,0.9862789313053376,Polynomial,0.9862789313053376,[-3.11653519e-04  3.76525012e-02  1.02892483e+00],-0.000311654,0.037652501
08192000,0.9966376020084896,#NAME?,0.922641145,Power,0.9966376020084896,[0.60736271 0.28937346],0.6073627122786526,0.28937346303785944
09143000,0.9687587485215593,0.8378550850707109,0.9661032877373062,Power,0.9687587485215593,[0.86906994 0.15230154],0.8690699422564999,0.15230153779595582
07343500,0.8625430646989753,#NAME?,0.5588269436937111,Power,0.8625430646989753,[1.60464523 0.21573006],1.6046452250786933,0.21573006012894475
02087324,0.9584633901150051,#NAME?,0.9719950610118828,Polynomial,0.9719950610118828,[-6.14095510e-05  3.60125709e-02  4.34130933e-01],-6.14E-05,0.036012571
09047500,0.9990433302785112,-203442.1406,0.9531579027005036,Power,0.9990433302785112,[0.42624947 0.2435463 ],0.4262494671743867,0.24354630297933902
01470779,0.9916768233044443,-1.03E+217,0.9593471405660698,Power,0.9916768233044443,[0.45033987 0.38584014],0.4503398664203545,0.38584013515492604
01350180,0.988504374,#NAME?,0.94854533,Power,0.988504374,[0.30392696 0.37989819],0.30392695738187825,0.3798981896183281
07247000,0.9745956334377642,#NAME?,0.9504541267484502,Power,0.9745956334377642,[0.74736699 0.33593881],0.7473669939287454,0.33593880919355773
08092000,0.9654819608050942,#NAME?,0.9952900346642307,Polynomial,0.9952900346642307,[-4.30900220e-06  1.25547067e-02  7.22654518e-01],-4.31E-06,0.012554706687795224
06025500,0.9973585637910769,#NAME?,0.9910006691574696,Power,0.9973585637910769,[0.13660579 0.48603257],0.13660579481237023,0.48603257103916514
05382257,0.9416033426502964,0.9479092286792368,0.9987416851395059,Polynomial,0.9987416851395059,[-0.34620016  1.21724788  0.47107053],-0.346200155,1.2172478804429667
07243500,0.9711909920960139,#NAME?,0.9229080031202457,Power,0.9711909920960139,[0.56183045 0.40077993],0.5618304536775465,0.40077992835893106
07076517,0.9896641613266751,#NAME?,0.9988438034165292,Polynomial,0.9988438034165292,[3.21781515e-06 1.16854161e-02 1.16250188e+00],3.217815146464105e-06,0.011685416068168633
02169570,0.9949820628528818,0.8597857393122201,0.9944847885231264,Power,0.9949820628528818,[0.4578909  0.42130016],0.45789089795023713,0.4213001598863646
02101800,0.9839718187680898,-6.03E+166,0.9628610289486819,Power,0.9839718187680898,[0.74417059 0.30128261],0.7441705870947507,0.3012826141937135
01388500,0.9638974219347044,#NAME?,0.9916004889516674,Polynomial,0.9916004889516674,[-4.66794086e-06  1.06090786e-02  2.66394656e+00],-4.67E-06,0.010609078566975702
05014500,0.9702977894472004,-2.88E+61,0.9986244594832496,Polynomial,0.9986244594832496,[-3.11491186e-05  2.44455944e-02  5.09428304e-01],-3.11E-05,0.024445594409623492
09072550,0.999247754,0.7745598792906311,0.9640090803447176,Power,0.999247754,[0.88914818 0.40387761],0.8891481780549476,0.4038776132323377
04188400,0.9269808824016432,-2.18E+163,0.9892370298864818,Polynomial,0.9892370298864818,[-7.91450249e-05  3.02035111e-02  1.79730563e+00],-7.91E-05,0.030203511081629855
02217770,0.9944214215479272,-3.52E+217,0.9866708237488737,Power,0.9944214215479272,[0.67162297 0.38785095],0.6716229663210621,0.38785095188504765
03508050,0.9870517714459589,-2.59E+300,0.9939503405442038,Polynomial,0.9939503405442038,[-1.92413901e-05  1.74055849e-02  1.47222432e+00],-1.92E-05,0.017405585
